task_id,language,model_name,true_bug_type,true_failure_symptom,predicted_bug_type,diagnosis_match,code_length,fix_success
Python/0,python,qwen2.5-coder:7b,missing logic,incorrect output,operator misuse,0,16,1
Python/1,python,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,18,1
Python/2,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,10,1
Python/3,python,qwen2.5-coder:7b,operator misuse,incorrect output,value misuse,0,17,1
Python/4,python,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,14,1
Python/5,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,24,1
Python/6,python,qwen2.5-coder:7b,variable misuse,incorrect output,value misuse,0,14,1
Python/7,python,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,8,1
Python/8,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,18,1
Python/9,python,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,18,1
Python/10,python,qwen2.5-coder:7b,missing logic,stackoverflow,missing logic,1,21,0
Python/11,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,13,1
Python/12,python,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,20,1
Python/13,python,qwen2.5-coder:7b,variable misuse,incorrect output,missing logic,0,10,1
Python/14,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,13,1
Python/15,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,8,1
Python/16,python,qwen2.5-coder:7b,missing logic,incorrect output,variable misuse,0,8,1
Python/17,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,19,1
Python/18,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,17,1
Python/19,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,23,0
Python/20,python,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,23,1
Python/21,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,4,1
Python/22,python,qwen2.5-coder:7b,variable misuse,incorrect output,variable misuse,1,9,1
Python/23,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,8,1
Python/24,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,8,1
Python/25,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,13,0
Python/26,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,12,1
Python/27,python,qwen2.5-coder:7b,function misuse,incorrect output,operator misuse,0,6,1
Python/28,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,8,1
Python/29,python,qwen2.5-coder:7b,function misuse,incorrect output,operator misuse,0,8,1
Python/30,python,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,8,1
Python/31,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,23,1
Python/32,python,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,34,1
Python/33,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,9,1
Python/34,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,6,1
Python/35,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,12,1
Python/36,python,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,15,1
Python/37,python,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,18,1
Python/38,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,9,1
Python/39,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,17,0
Python/40,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,23,1
Python/41,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,13,1
Python/42,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,8,1
Python/43,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,21,1
Python/44,python,qwen2.5-coder:7b,operator misuse,infinite loop,operator misuse,1,16,1
Python/45,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,6,1
Python/46,python,qwen2.5-coder:7b,value misuse,incorrect output,variable misuse,0,24,1
Python/47,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,12,1
Python/48,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,16,1
Python/49,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,17,1
Python/50,python,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,5,1
Python/51,python,qwen2.5-coder:7b,excess logic,incorrect output,missing logic,0,17,1
Python/52,python,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,11,1
Python/53,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,8,1
Python/54,python,qwen2.5-coder:7b,missing logic,incorrect output,value misuse,0,17,1
Python/55,python,qwen2.5-coder:7b,excess logic,incorrect output,missing logic,0,14,1
Python/56,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,22,1
Python/57,python,qwen2.5-coder:7b,operator misuse,incorrect output,value misuse,0,12,1
Python/58,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,14,1
Python/59,python,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,21,1
Python/60,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,14,1
Python/61,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,22,1
Python/62,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,10,1
Python/63,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,21,1
Python/64,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,4,0
Python/65,python,qwen2.5-coder:7b,variable misuse,incorrect output,operator misuse,0,14,1
Python/66,python,qwen2.5-coder:7b,function misuse,incorrect output,missing logic,0,17,1
Python/67,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,6,1
Python/68,python,qwen2.5-coder:7b,variable misuse,incorrect output,value misuse,0,7,1
Python/69,python,qwen2.5-coder:7b,value misuse,incorrect output,variable misuse,0,22,1
Python/70,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,7,0
Python/71,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,19,1
Python/72,python,qwen2.5-coder:7b,operator misuse,incorrect output,missing logic,0,11,1
Python/73,python,qwen2.5-coder:7b,variable misuse,incorrect output,value misuse,0,6,1
Python/74,python,qwen2.5-coder:7b,variable misuse,incorrect output,value misuse,0,13,0
Python/75,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,24,0
Python/76,python,qwen2.5-coder:7b,variable misuse,infinite loop,value misuse,0,18,1
Python/77,python,qwen2.5-coder:7b,missing logic,incorrect output,operator misuse,0,16,0
Python/78,python,qwen2.5-coder:7b,value misuse,incorrect output,value misuse,1,7,1
Python/79,python,qwen2.5-coder:7b,missing logic,incorrect output,operator misuse,0,13,1
Python/80,python,qwen2.5-coder:7b,operator misuse,incorrect output,operator misuse,1,8,1
Python/81,python,qwen2.5-coder:7b,excess logic,incorrect output,operator misuse,0,30,1
Python/82,python,qwen2.5-coder:7b,value misuse,incorrect output,missing logic,0,8,1
Python/83,python,qwen2.5-coder:7b,excess logic,incorrect output,missing logic,0,7,1
Python/84,python,qwen2.5-coder:7b,operator misuse,incorrect output,value misuse,0,20,1
Python/85,python,qwen2.5-coder:7b,value misuse,incorrect output,operator misuse,0,10,1
Python/86,python,qwen2.5-coder:7b,missing logic,incorrect output,missing logic,1,14,1
